driverId,forename,surname,career_points,avg_finishing_position,total_podiums
579,Juan,Fangio,279.14,2.25,35.0
475,Stirling,Moss,146.5,3.6206896551724137,19.0
647,Alberto,Ascari,140.0,2.1818181818181817,17.0
578,Mike,Hawthorn,127.64,3.696969696969697,18.0
642,Nino,Farina,127.33,2.814814814814815,20.0
498,José Froilán,González,77.64,2.611111111111111,15.0
427,Maurice,Trintignant,70.33,5.125,9.0
479,Tony,Brooks,62.0,3.4615384615384617,9.0
554,Jean,Behra,51.0,4.92,9.0
633,Luigi,Villoresi,49.0,4.277777777777778,8.0
581,Peter,Collins,47.0,4.1875,9.0
577,Luigi,Musso,44.0,4.214285714285714,7.0
641,Piero,Taruffi,41.0,4.083333333333333,5.0
356,Jack,Brabham,37.0,5.066666666666666,5.0
501,Harry,Schell,32.0,6.741935483870968,2.0
786,Luigi,Fagioli,32.0,3.2857142857142856,6.0
403,Phil,Hill,29.0,4.333333333333333,5.0
509,Jim,Rathmann,21.0,8.875,3.0
418,Masten,Gregory,20.0,4.555555555555555,3.0
611,Sam,Hanks,20.0,4.0,4.0
608,Eugenio,Castellotti,19.5,5.0,3.0
657,Bill,Vukovich,19.0,6.333333333333333,2.0
525,Jimmy,Bryan,18.0,7.5,3.0
627,Louis,Rosier,18.0,7.5,2.0
697,Felice,Bonetto,17.5,4.333333333333333,2.0
456,Roy,Salvadori,17.0,6.5,2.0
648,Karl,Kling,17.0,4.166666666666667,2.0
360,Bruce,McLaren,16.5,5.333333333333333,2.0
626,Robert,Manzon,16.0,6.909090909090909,2.0
590,Stuart,Lewis-Evans,16.0,4.333333333333333,2.0
364,Dan,Gurney,13.0,3.0,2.0
476,Wolfgang,von Trips,13.0,4.5,2.0
643,Roberto,Mieres,13.0,5.125,0.0
347,Jo,Bonnier,13.0,6.5,1.0
593,Johnnie,Parsons,12.0,9.0,1.0
632,Paul,Frère,11.0,5.8,1.0
529,Tony,Bettenhausen,11.0,7.714285714285714,1.0
