year,num_races,avg_points
1950,7,1.05
1951,8,1.0726256983240223
1952,8,0.8930232558139535
1953,9,0.8780487804878049
1954,9,0.9372173913043479
1955,7,0.9332777777777779
1956,8,1.0105263157894737
1957,8,1.1228070175438596
1958,11,1.0746887966804979
1959,9,1.1076923076923078
1960,10,1.0582959641255605
1961,8,0.9090909090909091
1962,9,1.0089686098654709
1963,10,0.968503937007874
1964,10,1.2077294685990339
1965,10,1.2195121951219512
1966,9,1.3313253012048192
1967,11,1.3414634146341464
1968,12,1.2789699570815452
1969,11,1.5536723163841808
1970,13,1.1020408163265305
1971,11,1.0456273764258555
1972,12,0.970873786407767
1973,15,1.050420168067227
1974,15,0.8600917431192661
1975,14,0.8953168044077136
1976,16,0.9216589861751152
1977,17,0.8909853249475891
1978,16,0.8492569002123143
1979,15,0.9305210918114144
1980,14,0.9138381201044387
1981,15,0.8351893095768375
1982,16,0.8580645161290322
1983,15,0.8702830188679245
1984,16,0.891860465116279
1985,16,0.9852216748768473
1986,16,0.970873786407767
1987,16,0.9498806682577565
1988,16,0.8080808080808081
1989,16,0.6451612903225806
1990,16,0.7380073800738007
1991,16,0.7476808905380334
1992,16,0.8702928870292888
1993,16,1.0097087378640777
1994,16,0.9369369369369369
1995,17,1.0574162679425838
1996,16,1.223529411764706
1997,17,1.175531914893617
1998,16,1.191977077363897
1999,16,1.1818181818181819
2000,17,1.1849865951742626
2001,17,1.1818181818181819
2002,17,1.2209944751381216
2003,16,1.95
2004,18,1.95
2005,19,1.9627659574468086
2006,18,1.7727272727272727
2007,17,1.7727272727272727
2008,18,1.9076086956521738
2009,17,1.8926470588235293
2010,19,4.208333333333333
2011,19,4.208333333333333
2012,20,4.208333333333333
2013,19,4.590909090909091
2014,19,4.963144963144964
2015,19,5.076719576719577
2016,21,4.590909090909091
2017,20,5.05
2018,21,5.05
2019,21,5.095238095238095
2020,17,5.1
2021,22,4.976136363636364
2022,22,5.095454545454546
2023,22,5.095454545454546
2024,24,5.1002087682672235
